player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
James van Riemsdyk #21,F,0.076,0.076,0.0,0.0,36,49,3.66,2.73,803,T4
Alexander Wennberg #21,F,0.077,0.039,0.024,0.014,40,78,4.59,2.71,1021,T3
Barclay Goodrow #23,F,0.077,0.071,0.006,0.0,50,73,5.14,2.91,852,T4
Josh Norris #13,F,0.077,0.072,0.005,0.0,27,52,4.64,2.56,673,T4
Vincent Trocheck #16,F,0.077,0.058,0.019,0.0,52,92,4.48,2.84,1231,T1
Drew O'Connor #18,F,0.078,0.068,0.01,0.0,36,68,3.91,2.61,1043,T3
Tanner Pearson #70,F,0.079,0.052,0.008,0.018,30,42,2.62,2.81,962,T3
Matt Duchene #95,F,0.079,0.07,0.009,0.0,35,65,2.89,2.84,1347,T1
Lawson Crouse #67,F,0.079,0.073,0.001,0.005,26,41,2.61,2.21,942,T4
Erik Gustafsson #56,F,0.08,0.057,0.014,0.009,30,41,2.88,2.37,853,T4
Matthew Knies #23,F,0.08,0.07,0.01,0.0,33,76,3.57,2.39,1279,T1
Kevin Stenlund #82,F,0.082,0.066,0.017,0.0,36,72,4.66,2.37,926,T4
Brett Howden #21,F,0.083,0.067,0.013,0.004,38,67,3.37,2.57,1194,T1
Andrei Kuzmenko #96,F,0.084,0.051,0.006,0.028,30,43,2.85,2.5,905,T4
Joel Farabee #86,F,0.085,0.079,0.006,0.0,39,52,3.05,2.41,1023,T3
Mark Stone #61,F,0.085,0.055,0.019,0.011,26,56,3.07,2.39,1094,T2
Anton Lundell #15,F,0.085,0.046,0.039,0.0,25,60,2.77,2.11,1298,T1
Craig Smith #15,F,0.085,0.058,0.005,0.022,25,37,3.63,3.2,612,T4
Juraj Slafkovský #20,F,0.086,0.073,0.013,0.0,30,55,2.84,3.03,1162,T2
Blake Coleman #20,F,0.086,0.07,0.016,0.0,39,67,3.57,2.46,1127,T2
Jean-Gabriel Pageau #44,F,0.086,0.076,0.011,0.0,28,66,3.91,2.5,1013,T3
Pierre Engvall #18,F,0.088,0.081,0.007,0.0,31,29,2.42,2.36,719,T4
Brandon Duhaime #22,F,0.088,0.041,0.044,0.003,26,63,3.76,2.21,1006,T3
Alex Killorn #17,F,0.09,0.067,0.002,0.021,26,78,4.51,2.56,1038,T3
Elias Lindholm #28,F,0.09,0.054,0.036,0.0,31,76,4.5,2.44,1013,T3
Ty Dellandrea #53,F,0.091,0.058,0.015,0.018,39,59,4.95,2.82,715,T4
Jack Johnson #3,F,0.092,0.035,0.024,0.032,26,43,5.63,2.99,458,T4
Jake Guentzel #59,F,0.092,0.056,0.016,0.02,27,62,2.9,2.59,1282,T1
Tage Thompson #72,F,0.095,0.069,0.006,0.02,42,69,3.82,2.64,1084,T2
Jesper Boqvist #70,F,0.095,0.074,0.012,0.008,34,59,3.45,2.42,1026,T3
Robert Thomas #18,F,0.095,0.08,0.015,0.0,33,68,3.59,2.55,1138,T2
Nick Foligno #17,F,0.096,0.085,0.011,0.0,44,88,5.37,2.66,984,T3
Taylor Raddysh #16,F,0.097,0.078,0.003,0.016,35,47,2.78,2.35,1013,T3
Marco Kasper #92,F,0.098,0.091,0.006,0.0,29,44,2.61,2.48,1012,T3
Adam Henrique #19,F,0.098,0.074,0.02,0.005,29,59,2.9,2.48,1220,T1
Connor McDavid #97,F,0.102,0.064,0.01,0.028,39,87,3.38,2.41,1546,T1
Kent Johnson #91,F,0.105,0.098,0.007,0.0,31,57,3.74,2.66,914,T4
Travis Hamonic #23,F,0.111,0.046,0.026,0.038,29,57,3.86,2.67,886,T4
Carson Soucy #24,F,0.111,0.076,0.022,0.013,37,70,3.64,2.46,1155,T2
Anders Lee #27,F,0.112,0.112,0.0,0.0,33,56,2.99,2.58,1124,T2
Taylor Hall #71,F,0.113,0.086,0.023,0.004,35,68,3.44,2.83,1186,T2
Henry Thrun #3,F,0.117,0.095,0.013,0.009,47,60,3.8,3.06,948,T4
Kasperi Kapanen #42,F,0.125,0.104,0.006,0.015,37,51,3.51,2.55,872,T4
TJ Brodie #78,F,0.127,0.085,0.005,0.037,30,44,3.27,2.72,807,T4
Marc Del Gaizo #7,F,0.131,0.088,0.023,0.02,27,33,2.8,2.41,708,T4
Nick Blankenburg #37,F,0.143,0.06,0.046,0.037,30,60,3.88,2.54,928,T4
Frederick Gaudreau #89,F,0.147,0.127,0.02,0.0,29,70,3.89,2.29,1079,T2
Mathew Dumba #3,F,0.173,0.154,0.019,0.0,33,43,2.88,2.75,895,T4
